Game,Suzuki, Mariners
1,20601
2,18172
3,15837
4,18854
5,30413
6,30404
7,18010
8,14811
9,16741
10,19346
11,19293
12,19978
13,19961
14,19729
15,21108
16,19818
17,20412
18,19436
19,20183
20,20664
21,20337
22,21242
23,20382
24,21465
25,20117
26,20176
27,20007
28,19102
29,19999
30,18860
31,19596
32,18901
33,19294
34,19982
35,19637
36,20712
37,19934
38,21053
39,20783
40,20445
41,20820
42,19837
43,20908
44,19793
45,20279
46,19860
47,19591
48,20509
49,19526
50,20661
51,20186
52,21056
53,20686
54,20324
55,21058
56,19934
57,20591
58,19728
59,20368
60,20161
61,19784
62,20691
63,20008
64,20998
65,20243
66,20720
67,20812
68,20353
69,20986
70,19826
71,21060
72,20230
73,20017
74,20202
75,19441
76,20425
77,19637
78,20906
79,20322
80,20706
81,20994
82,20059
83,20840
84,18751
85,15287
86,17597
87,30417
88,30398
89,19012
90,15641
91,16594
92,19207
93,19851
94,19789
95,20397
96,20283
97,20911
98,21293
99,20928
100,21349
101,20022
102,20706
103,20994
104,20059
105,20840
106,18751
107,15287
108,17597
109,30417
110,30398
111,19012
112,15641
11316594
11419207
115,19851
116,19789
117,20397
118,20283
119,20911
120,21293
121,20928
122,21349
123,20022
124,21492
125,21599
126,20641
127,21486
128,19961
129,20135
130,20284
131,19106
132,19662
133,18706
134,19335
135,19488
136,19457
137,20506
138,19825
139,20125
140,20226
141,19498
142,20378
143,20093
144,19881
145,20847
146,20267
147,20043
148,20110
149,19529
150,20785
151,19859
152,20957
153,20461
154,19978
155,21246
156,20352
157,20965
158,20626
159,19727
160,20900
161,20062
162,20616
163,21104
164,20376
165,21219
166,20789
167,20570
168,19763
169,20263
170,19213
171,20222
172,19654
173,19303
174,20066
175,19605
176,20791
177,17989
178,16115
179,21476
180,30413
181,29947
182,16382
183,14171
184,18266
185,19255
186,20096
187,20125
188,20205
189,20844
190,19846
191,20868
192,21087
193,20605
194,21303
195,20145
196,20919
197,21383
198,20062
199,20510
200,19099
201,19327
