Date,Suzuki, Mariners
2009/07/12 1:34,20601
2009/07/12 2:34,19303
2009/07/12 3:34,20066
2009/07/12 4:34,19605
2009/07/12 5:34,20791
2009/07/12 6:34,17989
2009/07/12 7:34,16115
2009/07/12 8:34,21476
2009/07/12 9:34,30413
2009/07/12 10:34,29947
2009/07/12 11:34,16382
2009/07/12 12:34,14171
2009/07/12 13:34,18266
2009/07/12 14:34,19255
2009/07/12 15:34,20096
2009/07/12 16:34,20125
2009/07/12 17:34,20205
2009/07/12 18:34,20844
2009/07/12 19:34,19846
2009/07/12 20:34,20868
2009/07/12 21:34,21087
2009/07/12 22:34,20605
2009/07/12 23:34,21303
2009/07/12 00:34,20145
2009/07/13 00:40,18172
2009/07/14 00:45,15837
2009/07/15 00:47,18854
2009/07/16 00:48,30413
2009/07/17,30404
2009/07/18,18010
2009/07/19,14811
2009/07/20,16741
2009/07/21,19346
2009/07/22,19293
2009/07/23,19978
2009/07/24,19961
2009/07/25,19729
2009/07/26,21108
2009/07/27,19818
2009/07/28,25435
2009/07/29,19436
2009/07/30,22342
2009/08/1,20664
2009/08/2,26745
2009/08/3,21242
2009/08/4,20382
2009/08/5,21465
2009/08/6,20117
2009/08/7,20176
2009/08/8,20007
2009/08/9,19102
2009/08/10,19999
2009/08/11,18860
2009/08/12,19596
2009/08/13,18901
2009/08/14,19294
2009/08/15,19982
